,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.12441314553990611,0.07692307692307693,0.0,0.22008547008547008,0.125,0.0,0.22488038277511962,0.22714285714285715,0.0,0.13620689655172413,0.3333333333333333,0.04929577464788732,0.27681307456588355,0.0,0.0,0.0380952380952381
KNeighborsUnif,REC,0.15497076023391812,0.041666666666666664,0.0,0.18864468864468864,0.022222222222222223,0.0,0.2883435582822086,0.2163265306122449,0.0,0.2344213649851632,0.009708737864077669,0.0603448275862069,0.29585152838427947,0.0,0.0,0.042105263157894736
KNeighborsUnif,F1,0.13802083333333331,0.05405405405405406,0.0,0.20315581854043394,0.03773584905660377,0.0,0.25268817204301075,0.22160278745644602,0.0,0.17230098146128678,0.018867924528301886,0.05426356589147287,0.2860158311345647,0.0,0.0,0.04
KNeighborsUnif,AUC,0.5749661492069765,0.5522982842568978,0.5468701321506052,0.6023918708566558,0.5227457824316463,0.5206652478665057,0.5936419408812046,0.5654881830577873,0.49675700718091265,0.5968879821958456,0.5179247056881188,0.5288908495290379,0.5787921762451032,0.5355500919485088,0.49003707136237257,0.5382366808109382
KNeighborsDist,PRE,0.12420382165605096,0.0,0.10526315789473684,0.20279720279720279,0.09090909090909091,0.0,0.21808014911463186,0.22547584187408493,0.0,0.16271186440677965,0.037037037037037035,0.078125,0.27472527472527475,0.010869565217391304,0.0,0.043478260869565216
KNeighborsDist,REC,0.11403508771929824,0.0,0.024096385542168676,0.21245421245421245,0.037037037037037035,0.0,0.3588957055214724,0.20952380952380953,0.0,0.142433234421365,0.009708737864077669,0.04310344827586207,0.32751091703056767,0.005952380952380952,0.0,0.010526315789473684
KNeighborsDist,F1,0.11890243902439024,0.0,0.03921568627450981,0.2075134168157424,0.05263157894736842,0.0,0.271304347826087,0.21720733427362482,0.0,0.1518987341772152,0.015384615384615384,0.05555555555555556,0.29880478087649404,0.007692307692307692,0.0,0.01694915254237288
KNeighborsDist,AUC,0.57063580938161,0.5525301414328774,0.5475980083946506,0.6072537328142709,0.5233363301426128,0.5200749634711899,0.597171421198525,0.5642962904206659,0.49675700718091265,0.5978141691394657,0.518374141829205,0.5301959006282218,0.5820502125964854,0.5357342745205542,0.49003707136237257,0.5368098463981736
NeuralNetFastAI,PRE,0.12781954887218044,0.0,0.0,0.16556291390728478,0.18181818181818182,0.0,0.2391559202813599,0.1845672575599583,0.0,0.18950437317784258,0.0,0.05,0.24454828660436137,0.06451612903225806,0.0,0.06
NeuralNetFastAI,REC,0.049707602339181284,0.0,0.0,0.18315018315018314,0.014814814814814815,0.0,0.3128834355828221,0.24081632653061225,0.0,0.19287833827893175,0.0,0.017241379310344827,0.34279475982532753,0.011904761904761904,0.0,0.031578947368421054
NeuralNetFastAI,F1,0.07157894736842105,0.0,0.0,0.1739130434782609,0.027397260273972605,0.0,0.2710963455149501,0.2089728453364817,0.0,0.19117647058823528,0.0,0.025641025641025644,0.28545454545454546,0.02010050251256281,0.0,0.041379310344827586
NeuralNetFastAI,AUC,0.5702332594105205,0.6071373367339052,0.580927376643386,0.5995441294834595,0.5086854584236783,0.5269836732100883,0.6365994206324762,0.5214242276588592,0.508408617095205,0.6637188427299703,0.49030960646821153,0.5520386572882713,0.5638146868366332,0.6430256199385487,0.5849331391500066,0.6426958485322217
LightGBMXT,PRE,0.6793650793650794,0.0,0.8461538461538461,0.6649746192893401,0.6753246753246753,0.6818181818181818,0.615681233933162,0.6444981862152358,0.8,0.6826923076923077,0.65625,0.8214285714285714,0.6761363636363636,0.7175572519083969,0.75,0.6739130434782609
LightGBMXT,REC,0.6257309941520468,0.0,0.5301204819277109,0.7197802197802198,0.3851851851851852,0.3409090909090909,0.7346625766871165,0.7251700680272108,0.2,0.6320474777448071,0.4077669902912621,0.39655172413793105,0.7794759825327511,0.5595238095238095,0.14285714285714285,0.3263157894736842
LightGBMXT,F1,0.6514459665144597,0.0,0.6518518518518519,0.6912928759894459,0.49056603773584917,0.45454545454545453,0.66993006993007,0.6824583866837388,0.32000000000000006,0.6563944530046225,0.5029940119760479,0.5348837209302326,0.7241379310344828,0.6287625418060201,0.24,0.43971631205673756
LightGBMXT,AUC,0.9324169832173257,0.7667130381018625,0.9531553576789528,0.9233279030825853,0.9335096162321294,0.8995087139741228,0.9098176157694517,0.9085372072204785,0.8315728515172573,0.9275660237388724,0.9417200563171001,0.906747052912776,0.9235244616796591,0.9495982249940034,0.7471093163864247,0.9132683193131343
LightGBM,PRE,0.675,0.0,0.7931034482758621,0.6862068965517242,0.65625,0.7,0.651595744680851,0.6694915254237288,1.0,0.6945337620578779,0.684931506849315,0.696969696969697,0.6981677917068466,0.7375886524822695,0.3333333333333333,0.6862745098039216
LightGBM,REC,0.631578947368421,0.0,0.5542168674698795,0.7289377289377289,0.4666666666666667,0.3181818181818182,0.7515337423312883,0.7523809523809524,0.15,0.6409495548961425,0.4854368932038835,0.39655172413793105,0.7903930131004366,0.6190476190476191,0.047619047619047616,0.3684210526315789
LightGBM,F1,0.6525679758308157,0.0,0.652482269503546,0.7069271758436945,0.5454545454545454,0.4375,0.698005698005698,0.7085201793721974,0.2608695652173913,0.6666666666666667,0.5681818181818182,0.5054945054945056,0.7414234511008705,0.6731391585760518,0.08333333333333333,0.4794520547945205
LightGBM,AUC,0.9305989211660775,0.8205328850761264,0.9616802895644637,0.9276450490510105,0.9302748250392229,0.9127490841327319,0.9269988595782938,0.9199709534007939,0.800891823025249,0.9353271513353115,0.9380993437315124,0.9129618737184358,0.9325491218507829,0.9498466573004832,0.7803080453682864,0.9263133080225316
RandomForestGini,PRE,0.7876712328767124,0.0,0.0,0.6293279022403259,0.0,0.0,0.5438799076212472,0.5589225589225589,0.0,0.7658227848101266,0.0,1.0,0.46510297482837526,0.9428571428571428,0.0,0.0
RandomForestGini,REC,0.3362573099415205,0.0,0.0,0.5659340659340659,0.0,0.0,0.7223926380368099,0.6775510204081633,0.0,0.3590504451038576,0.0,0.017241379310344827,0.8875545851528385,0.19642857142857142,0.0,0.0
RandomForestGini,F1,0.4713114754098361,0.0,0.0,0.5959498553519769,0.0,0.0,0.6205533596837945,0.6125461254612546,0.0,0.48888888888888893,0.0,0.03389830508474576,0.6103603603603605,0.3251231527093596,0.0,0.0
RandomForestGini,AUC,0.9065571730745303,0.6543878970554139,0.8958216504947859,0.900821108022374,0.8914167856576234,0.862066683607564,0.9129292189359949,0.8796488723196108,0.5570593004401204,0.9171361275964393,0.9027945297201114,0.8785281311014713,0.9113293630785453,0.9204731064889378,0.7238293834679377,0.8400357328965979
RandomForestEntr,PRE,0.7540983606557377,0.0,0.0,0.6726804123711341,0.0,0.0,0.5127314814814815,0.5316455696202531,0.0,0.8118811881188119,0.0,0.0,0.40428641013151484,1.0,0.0,0.0
RandomForestEntr,REC,0.13450292397660818,0.0,0.0,0.47802197802197804,0.0,0.0,0.6794478527607362,0.6285714285714286,0.0,0.2433234421364985,0.0,0.0,0.9061135371179039,0.005952380952380952,0.0,0.0
RandomForestEntr,F1,0.22828784119106696,0.0,0.0,0.5588865096359743,0.0,0.0,0.5844327176781002,0.5760598503740648,0.0,0.3744292237442922,0.0,0.0,0.5591108117211182,0.011834319526627219,0.0,0.0
