,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.13064133016627077,0.05,0.0,0.21135029354207435,0.15,0.0,0.2376502002670227,0.23055162659123055,0.0,0.14583333333333334,0.0,0.05755395683453238,0.27956989247311825,0.05128205128205128,0.0,0.05747126436781609
KNeighborsUnif,REC,0.1608187134502924,0.041666666666666664,0.0,0.1978021978021978,0.022222222222222223,0.0,0.27300613496932513,0.2217687074829932,0.0,0.24925816023738873,0.0,0.06896551724137931,0.31222707423580787,0.011904761904761904,0.0,0.05263157894736842
KNeighborsUnif,F1,0.14416775884665792,0.04545454545454545,0.0,0.2043519394512772,0.03870967741935484,0.0,0.2541042112776588,0.22607489597780858,0.0,0.18400876232201535,0.0,0.06274509803921569,0.29499742135121193,0.019323671497584537,0.0,0.05494505494505494
KNeighborsUnif,AUC,0.5701128603737128,0.5460091583584512,0.5445887924051637,0.6016309593861691,0.519020043365593,0.5084810367829236,0.6015597556001366,0.5646366153346403,0.495135510771369,0.6080066765578636,0.5120453471894191,0.5346359336323309,0.5803676623577212,0.5466867125838102,0.4931649675625579,0.5468932231569021
KNeighborsDist,PRE,0.1291390728476821,0.0,0.038461538461538464,0.1842948717948718,0.09523809523809523,0.0,0.2222222222222222,0.24024024024024024,0.0,0.16725978647686832,0.08108108108108109,0.08333333333333333,0.2806076854334227,0.041237113402061855,0.0,0.0
KNeighborsDist,REC,0.11403508771929824,0.0,0.012048192771084338,0.21062271062271062,0.044444444444444446,0.0,0.3374233128834356,0.21768707482993196,0.0,0.1394658753709199,0.02912621359223301,0.05172413793103448,0.34279475982532753,0.023809523809523808,0.0,0.0
KNeighborsDist,F1,0.12111801242236024,0.0,0.01834862385321101,0.19658119658119658,0.06060606060606061,0.0,0.2679658952496955,0.22840827980014278,0.0,0.15210355987055016,0.04285714285714286,0.06382978723404255,0.3085995085995086,0.030188679245283023,0.0,0.0
KNeighborsDist,AUC,0.5673407548909821,0.5466177834453976,0.5447176576545958,0.6019348408559698,0.52012445572655,0.5082904516866781,0.6049027728063531,0.5641518128628464,0.495135510771369,0.6085816023738873,0.5122104461800222,0.5354569516947283,0.5854277586803317,0.5480338153491188,0.4931649675625579,0.5458820318122037
NeuralNetFastAI,PRE,0.08896797153024912,0.0,0.0,0.17192982456140352,0.0,0.0,0.2109479305740988,0.1878238341968912,0.0,0.20725388601036268,0.0,0.06451612903225806,0.2548903378778897,0.0,0.0,0.0
NeuralNetFastAI,REC,0.07309941520467836,0.0,0.0,0.1794871794871795,0.0,0.0,0.24233128834355827,0.19727891156462585,0.0,0.11869436201780416,0.0,0.017241379310344827,0.46943231441048033,0.0,0.0,0.0
NeuralNetFastAI,F1,0.08025682182985554,0.0,0.0,0.17562724014336917,0.0,0.0,0.22555317630264096,0.192435301924353,0.0,0.1509433962264151,0.0,0.027210884353741496,0.3303880138301959,0.0,0.0,0.0
NeuralNetFastAI,AUC,0.5533656837128282,0.6507844501120643,0.5681258177986983,0.5854747556145604,0.5521673982406966,0.5270630836668573,0.6132542807435216,0.5307697537649152,0.5264651378271947,0.6448123145400593,0.5354297847751215,0.5620685570505437,0.5787929740403799,0.5994885721139018,0.6527097400591376,0.5613439539442666
LightGBMXT,PRE,0.6737160120845922,0.0,0.8571428571428571,0.660472972972973,0.7567567567567568,0.6363636363636364,0.6382699868938401,0.662111801242236,0.7142857142857143,0.6986754966887417,0.6610169491525424,0.75,0.6781395348837209,0.7388059701492538,0.42857142857142855,0.7090909090909091
