,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.11704834605597965,0.09090909090909091,0.14285714285714285,0.2178649237472767,0.14285714285714285,0.05,0.22318125770653513,0.22934472934472935,0.0,0.13966480446927373,0.0,0.05714285714285714,0.2793682132280355,0.044444444444444446,0.0,0.0
KNeighborsUnif,REC,0.13450292397660818,0.041666666666666664,0.012048192771084338,0.18315018315018314,0.014814814814814815,0.022727272727272728,0.2776073619631902,0.21904761904761905,0.0,0.22255192878338279,0.0,0.06896551724137931,0.3089519650655022,0.011904761904761904,0.0,0.0
KNeighborsUnif,F1,0.1251700680272109,0.05714285714285715,0.022222222222222223,0.1990049751243781,0.02684563758389262,0.03125000000000001,0.2474367737525632,0.2240779401530967,0.0,0.17162471395881007,0.0,0.0625,0.29341627786417834,0.018779342723004695,0.0,0.0
KNeighborsUnif,AUC,0.5637136734967189,0.5481403013182674,0.5620529384187501,0.5846715683672206,0.5136035237558081,0.5328653134944525,0.5927541266989798,0.5581162405589887,0.49494355597365947,0.6099747755628366,0.5211873583802779,0.5247668514154857,0.5825642725536222,0.5301201499118166,0.4896494942366502,0.5020194876630519
KNeighborsDist,PRE,0.14333333333333334,0.0,0.034482758620689655,0.1978984238178634,0.0625,0.0,0.2177650429799427,0.22123893805309736,0.0,0.1875,0.02857142857142857,0.06349206349206349,0.28096947935368044,0.039603960396039604,0.0,0.0
KNeighborsDist,REC,0.12573099415204678,0.0,0.012048192771084338,0.20695970695970695,0.022222222222222223,0.0,0.3496932515337423,0.20408163265306123,0.0,0.13353115727002968,0.009708737864077669,0.034482758620689655,0.34170305676855894,0.023809523809523808,0.0,0.0
KNeighborsDist,F1,0.13395638629283488,0.0,0.01785714285714286,0.20232766338406444,0.03278688524590164,0.0,0.26839317245438493,0.21231422505307854,0.0,0.1559792027729636,0.014492753623188404,0.04469273743016759,0.3083743842364532,0.02973977695167286,0.0,0.0
KNeighborsDist,AUC,0.5631534306504173,0.548620919648462,0.5618271606358592,0.5868926207090459,0.513997439547355,0.5326126687881654,0.5975136003118326,0.55758675536938,0.49494355597365947,0.6092199276824057,0.5217579126562911,0.5271896053897979,0.5876420254930229,0.5303899215631671,0.4896494942366502,0.5018230394468017
NeuralNetFastAI,PRE,0.11746987951807229,0.0,0.0,0.14285714285714285,0.0,0.0,0.23431734317343172,0.1951219512195122,0.0,0.22807017543859648,0.0,0.0,0.25834542815674894,0.07692307692307693,0.0,0.0
NeuralNetFastAI,REC,0.11403508771929824,0.0,0.0,0.0641025641025641,0.0,0.0,0.3895705521472393,0.22857142857142856,0.0,0.19287833827893175,0.0,0.0,0.388646288209607,0.005952380952380952,0.0,0.0
NeuralNetFastAI,F1,0.11572700296735906,0.0,0.0,0.08849557522123894,0.0,0.0,0.2926267281105991,0.21052631578947367,0.0,0.20900321543408362,0.0,0.0,0.3103748910200524,0.011049723756906075,0.0,0.0
NeuralNetFastAI,AUC,0.5650714997842358,0.5056006748273698,0.5891131966395062,0.5676205615819141,0.6001575663166188,0.5503838049367851,0.6407628037826661,0.5419008768336285,0.388464252116651,0.6889332966341024,0.4854974418209298,0.5753065779429823,0.5750812596613769,0.6452923396454098,0.6140403938569076,0.5311173974540311
LightGBMXT,PRE,0.6826923076923077,0.0,0.8846153846153846,0.6591695501730104,0.7380952380952381,0.7647058823529411,0.6020151133501259,0.6790757381258024,1.0,0.7051282051282052,0.7222222222222222,0.8367346938775511,0.6770642201834862,0.7698412698412699,0.3333333333333333,0.5294117647058824
