,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.10869565217391304,0.09090909090909091,0.0,0.20040899795501022,0.16,0.0,0.21728395061728395,0.21758569299552907,0.0,0.140893470790378,0.3333333333333333,0.05737704918032787,0.265495867768595,0.03333333333333333,0.0,0.00847457627118644
KNeighborsUnif,REC,0.13157894736842105,0.041666666666666664,0.0,0.1794871794871795,0.02962962962962963,0.0,0.26993865030674846,0.19863945578231293,0.0,0.2433234421364985,0.009708737864077669,0.0603448275862069,0.28056768558951967,0.005952380952380952,0.0,0.03333333333333333
KNeighborsUnif,F1,0.11904761904761904,0.05714285714285715,0.0,0.1893719806763285,0.049999999999999996,0.0,0.24076607387140903,0.20768136557610242,0.0,0.17845484221980412,0.018867924528301886,0.058823529411764705,0.272823779193206,0.0101010101010101,0.0,0.013513513513513514
KNeighborsUnif,AUC,0.5680423492998824,0.5524952919020716,0.5600626425491895,0.5949849488496831,0.5268095506674187,0.5203405865657521,0.5886505185913298,0.5600657000148094,0.4964722483537159,0.5970473457783944,0.5232646417035586,0.5346974461518038,0.5779671487162406,0.5316749628701383,0.49023759115502236,0.5272198648436273
KNeighborsDist,PRE,0.12052117263843648,0.0,0.0,0.19734660033167495,0.09259259259259259,0.0,0.21998078770413065,0.22306525037936267,0.0,0.16666666666666666,0.06896551724137931,0.04918032786885246,0.27136150234741785,0.024390243902439025,0.0,0.0
KNeighborsDist,REC,0.10818713450292397,0.0,0.0,0.21794871794871795,0.037037037037037035,0.0,0.3512269938650307,0.2,0.0,0.14540059347181009,0.019417475728155338,0.02586206896551724,0.3155021834061135,0.011904761904761904,0.0,0.0
KNeighborsDist,F1,0.11402157164869028,0.0,0.0,0.2071366405570061,0.05291005291005291,0.0,0.27052569403425875,0.2109038737446198,0.0,0.15530903328050713,0.030303030303030304,0.03389830508474576,0.29177183240787474,0.016,0.0,0.0
KNeighborsDist,AUC,0.5664300700861569,0.5527552181418708,0.5602539065308741,0.6010105702134688,0.5266931664562798,0.5198729250881567,0.5940220062366539,0.5605284466062365,0.4964722483537159,0.5995369864150004,0.523800264085122,0.5358206664232851,0.5811340960074117,0.5321506892230576,0.49023759115502236,0.5263397768348264
NeuralNetFastAI,PRE,0.12844036697247707,0.045454545454545456,0.0,0.18181818181818182,0.08333333333333333,0.0,0.2564102564102564,0.21893491124260356,0.0,0.18980667838312829,0.0,0.046511627906976744,0.2762271414821944,0.13114754098360656,0.0,0.0
NeuralNetFastAI,REC,0.08187134502923976,0.041666666666666664,0.0,0.2454212454212454,0.007407407407407408,0.0,0.3374233128834356,0.20136054421768707,0.0,0.32047477744807124,0.0,0.017241379310344827,0.3133187772925764,0.047619047619047616,0.0,0.0
