,,ENTP,ESFP,ISFJ,INTJ,ISFP,ESTP,INTP,INFJ,ESTJ,ENFP,ISTJ,ENTJ,INFP,ISTP,ESFJ,ENFJ
KNeighborsUnif,PRE,0.0,0.0,0.0,0.0,0.44,0.5,0.6127167630057804,0.0,0.0,0.0,0.7,0.0,0.0,0.62,0.0,0.0
KNeighborsUnif,REC,0.0,0.0,0.0,0.0,0.08148148148148149,0.08888888888888889,0.9754601226993865,0.0,0.0,0.0,0.13592233009708737,0.0,0.0,0.18452380952380953,0.0,0.0
KNeighborsUnif,F1,0.0,0.0,0.0,0.0,0.13750000000000004,0.1509433962264151,0.7526627218934913,0.0,0.0,0.0,0.22764227642276424,0.0,0.0,0.28440366972477066,0.0,0.0
KNeighborsUnif,AUC,0.0,0.0,0.0,0.0,0.8431290417401529,0.8762902246508804,0.753015943423338,0.0,0.0,0.0,0.8438386855862585,0.0,0.0,0.7931990231990231,0.0,0.49818676337262013
KNeighborsDist,PRE,0.0,0.0,0.0,0.0,0.9316239316239316,1.0,0.8537234042553191,0.0,0.0,0.0,0.9120879120879121,0.0,0.0,0.9455782312925171,0.0,0.0
KNeighborsDist,REC,0.0,0.0,0.0,0.0,0.8074074074074075,0.8,0.9846625766871165,0.0,0.0,0.0,0.8058252427184466,0.0,0.0,0.8273809523809523,0.0,0.0
KNeighborsDist,F1,0.0,0.0,0.0,0.0,0.8650793650793651,0.888888888888889,0.9145299145299145,0.0,0.0,0.0,0.8556701030927835,0.0,0.0,0.8825396825396825,0.0,0.0
KNeighborsDist,AUC,0.0,0.0,0.0,0.0,0.9413139329805997,0.9200364298724956,0.9649956892781727,0.0,0.0,0.0,0.9348954443614638,0.0,0.0,0.9478205128205127,0.0,0.499546690843155
NeuralNetFastAI,PRE,0.0,0.0,0.0,0.0,0.6818181818181818,0.5833333333333334,0.6705882352941176,0.0,0.0,0.0,0.7083333333333334,0.0,0.0,0.6233766233766234,0.0,0.0
NeuralNetFastAI,REC,0.0,0.0,0.0,0.0,0.3333333333333333,0.15555555555555556,0.9616564417177914,0.0,0.0,0.0,0.3300970873786408,0.0,0.0,0.2857142857142857,0.0,0.0
NeuralNetFastAI,F1,0.0,0.0,0.0,0.0,0.4477611940298507,0.2456140350877193,0.7901701323251418,0.0,0.0,0.0,0.4503311258278146,0.0,0.0,0.39183673469387753,0.0,0.0
NeuralNetFastAI,AUC,0.0,0.0,0.0,0.0,0.8769988242210465,0.8812993321190042,0.8212018792248198,0.0,0.0,0.0,0.872796863330844,0.0,0.0,0.8080891330891331,0.0,0.5500906618313689
LightGBMXT,PRE,0.0,0.0,0.0,0.0,0.992,0.9512195121951219,0.9079497907949791,0.0,0.0,0.0,0.9797979797979798,0.0,0.0,0.968944099378882,0.0,0.0
LightGBMXT,REC,0.0,0.0,0.0,0.0,0.9185185185185185,0.8666666666666667,0.9984662576687117,0.0,0.0,0.0,0.941747572815534,0.0,0.0,0.9285714285714286,0.0,0.0
LightGBMXT,F1,0.0,0.0,0.0,0.0,0.9538461538461539,0.9069767441860465,0.9510591672753834,0.0,0.0,0.0,0.9603960396039605,0.0,0.0,0.9483282674772037,0.0,0.0
LightGBMXT,AUC,0.0,0.0,0.0,0.0,0.9974353321575544,0.9956081764824934,0.9944272987392699,0.0,0.0,0.0,0.9980862584017924,0.0,0.0,0.9964224664224665,0.0,0.9130326382592928
LightGBM,PRE,0.0,0.0,0.0,0.0,0.9769230769230769,0.9523809523809523,0.9203413940256046,0.0,0.0,0.0,0.9702970297029703,0.0,0.0,0.9341317365269461,0.0,0.0
LightGBM,REC,0.0,0.0,0.0,0.0,0.9407407407407408,0.8888888888888888,0.9923312883435583,0.0,0.0,0.0,0.9514563106796117,0.0,0.0,0.9285714285714286,0.0,0.0
LightGBM,F1,0.0,0.0,0.0,0.0,0.9584905660377359,0.9195402298850575,0.9549815498154982,0.0,0.0,0.0,0.9607843137254902,0.0,0.0,0.9313432835820896,0.0,0.0
LightGBM,AUC,0.0,0.0,0.0,0.0,0.9972957084068195,0.9960129528435538,0.9923453450451688,0.0,0.0,0.0,0.9983943241224794,0.0,0.0,0.9938522588522589,0.0,0.929374433363554
RandomForestGini,PRE,0.0,0.0,0.0,0.0,1.0,1.0,0.8402061855670103,0.0,0.0,0.0,1.0,0.0,0.0,0.9927536231884058,0.0,0.0
RandomForestGini,REC,0.0,0.0,0.0,0.0,0.8148148148148148,0.8,1.0,0.0,0.0,0.0,0.7961165048543689,0.0,0.0,0.8154761904761905,0.0,0.0
RandomForestGini,F1,0.0,0.0,0.0,0.0,0.8979591836734693,0.888888888888889,0.9131652661064426,0.0,0.0,0.0,0.8864864864864864,0.0,0.0,0.8954248366013071,0.0,0.0
RandomForestGini,AUC,0.0,0.0,0.0,0.0,0.9961750440917108,0.9924610402752478,0.9955174740419578,0.0,0.0,0.0,0.9949542569081404,0.0,0.0,0.9957112332112332,0.0,0.5602561196736174
RandomForestEntr,PRE,0.0,0.0,0.0,0.0,1.0,1.0,0.8337595907928389,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
RandomForestEntr,REC,0.0,0.0,0.0,0.0,0.8,0.8,1.0,0.0,0.0,0.0,0.7961165048543689,0.0,0.0,0.7976190476190477,0.0,0.0
RandomForestEntr,F1,0.0,0.0,0.0,0.0,0.888888888888889,0.888888888888889,0.9093444909344491,0.0,0.0,0.0,0.8864864864864864,0.0,0.0,0.8874172185430463,0.0,0.0
RandomForestEntr,AUC,0.0,0.0,0.0,0.0,0.9953924162257495,0.9922890103217973,0.9963093348993541,0.0,0.0,0.0,0.9931618745332338,0.0,0.0,0.995,0.0,0.5913077969174977
CatBoost,PRE,0.0,0.0,0.0,0.0,0.9469026548672567,0.9375,0.8409387222946545,0.0,0.0,0.0,0.9761904761904762,0.0,0.0,0.9241379310344827,0.0,0.0
CatBoost,REC,0.0,0.0,0.0,0.0,0.7925925925925926,0.6666666666666666,0.9892638036809815,0.0,0.0,0.0,0.7961165048543689,0.0,0.0,0.7976190476190477,0.0,0.0
CatBoost,F1,0.0,0.0,0.0,0.0,0.8629032258064516,0.7792207792207793,0.9090909090909091,0.0,0.0,0.0,0.8770053475935828,0.0,0.0,0.8562300319488818,0.0,0.0
CatBoost,AUC,0.0,0.0,0.0,0.0,0.9901161081716637,0.978850435134588,0.9766377619232065,0.0,0.0,0.0,0.9941747572815534,0.0,0.0,0.9804029304029305,0.0,0.750181323662738
ExtraTreesGini,PRE,0.0,0.0,0.0,0.0,1.0,1.0,0.8348271446862996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ExtraTreesGini,REC,0.0,0.0,0.0,0.0,0.8074074074074075,0.8,1.0,0.0,0.0,0.0,0.7961165048543689,0.0,0.0,0.7976190476190477,0.0,0.0
